context,id_a,id_b,title_a,title_b,key_a,key_b,grid_dist_3d,cosine_sim,harmonic_tier,edge_kind,edge_strength,is_thread
pool-party,8,15,DJs Gotta Dance More feat. Todd Terry (Extended),Feel The Game (Extended Remix),10A,1A,1.4142,0.7764,,none,0,0
pool-party,8,17,DJs Gotta Dance More feat. Todd Terry (Extended),Final Credits (Original Mix),10A,4A,2.2186,0.4395,,none,0,0
pool-party,8,18,DJs Gotta Dance More feat. Todd Terry (Extended),Give Life Back to Music (Original Mix),10A,8A,1.7315,0.6278,,none,0,0
pool-party,8,20,DJs Gotta Dance More feat. Todd Terry (Extended),Hit The Ground  (Extended Mix),10A,6A,1.4142,0.7975,,none,0,0
pool-party,8,22,DJs Gotta Dance More feat. Todd Terry (Extended),I Remember (Original Mix),10A,10A,2.5301,0.3175,same,harmonic,1,1
pool-party,8,24,DJs Gotta Dance More feat. Todd Terry (Extended),Illusory (Extended Mix),10A,1A,2.2667,0.5173,,none,0,0
pool-party,8,25,DJs Gotta Dance More feat. Todd Terry (Extended),It's A Memory (Amtrac Remix),10A,2A,1.5811,0.7729,,none,0,0
pool-party,8,29,DJs Gotta Dance More feat. Todd Terry (Extended),Just a Bitter Love,10A,6A,1.5948,0.8114,,none,0,0
pool-party,8,32,DJs Gotta Dance More feat. Todd Terry (Extended),Love Somebody Else Feat. Joi Cardwell (Original Mix),10A,12B,1.4142,0.5272,,none,0,0
pool-party,8,35,DJs Gotta Dance More feat. Todd Terry (Extended),Lying Together,10A,2A,1.4118,0.6702,,none,0,0
